topic,theme,area,learning_objective
Networks Defined,Domains of Geographic Information,foundational concepts,"What is network cost and how is it utilized in a network analysis (e.g., shortest path problems)?"
Networks Defined,Domains of Geographic Information,foundational concepts,Describe the difference between a connectivity matrix and a node-edge adjacency table for network representation.
Networks Defined,Domains of Geographic Information,foundational concepts,Describe how the mathematical approach is different from the algorithm-based approach to solve network problems.
Scale and Generalization,Domains of Geographic Information,foundational concepts,Understand why generalization is necessary and ubiquitous in cartography and GIS.
Scale and Generalization,Domains of Geographic Information,foundational concepts,Differentiate between model generalization and cartographic generalization.
Scale and Generalization,Domains of Geographic Information,foundational concepts,Explain why the reduction of map scale sometimes results in the need for mapped features to be reduced in size and moved.
Scale and Generalization,Domains of Geographic Information,foundational concepts,"Identify mapping tasks that require each of the following: smoothing, aggregation, simplification, and displacement."
Scale and Generalization,Domains of Geographic Information,foundational concepts,Apply appropriate generalization operators to change the display of map data to a smaller scale.
Scale and Generalization,Domains of Geographic Information,foundational concepts,Discuss the limitations of current technological approaches to generalization for mapping purposes.
Scale and Generalization,Domains of Geographic Information,foundational concepts,"Create a generalized dataset for mapping at 1:1,000,000 from topographic data compiled for 1:24,000 mapping."
Scale and Generalization,Domains of Geographic Information,foundational concepts,Why is generalization necessary? When is it appropriate or not?
Scale and Generalization,Domains of Geographic Information,foundational concepts,"In what ways do the objectives of model generalization (i.e., for analytical purposes) and cartographic generalization (i.e., for visualization purposes) differ?"
Scale and Generalization,Domains of Geographic Information,foundational concepts,How is generalization beneficial for analysis? How is it problematic?
Scale and Generalization,Domains of Geographic Information,foundational concepts,"What is an operator, and how is it different from an algorithm?"
Scale and Generalization,Domains of Geographic Information,foundational concepts,How are model and cartographic generalization different?
Scale and Generalization,Domains of Geographic Information,foundational concepts,What are some ways of inferring whether a map has been heavily generalized?
Academic Developments of GIS&T,Origins,foundational concepts,Identify the key academic disciplines that contributed to the development of GIS&T
Academic Developments of GIS&T,Origins,foundational concepts,Evaluate the role that the Quantitative Revolution in geography played in the development of GIS&T
Academic Developments of GIS&T,Origins,foundational concepts,"Discuss the contributions of early academic centers of GIS&T research and development (e.g., Harvard Laboratory for Computer Graphics, UK Experimental Cartography Unit)"
Academic Developments of GIS&T,Origins,foundational concepts,"Understand the major shifts in research foci during the 1960s, 1970s, 1980s"
Academic Developments of GIS&T,Origins,foundational concepts,How would you try to implement computer mapping software on a computer with a total memory of 32K (K not Mb)?
Academic Developments of GIS&T,Origins,foundational concepts,Is the rift between raster and vector models still visible in your current software packages?
Academic Developments of GIS&T,Origins,foundational concepts,How have geopositioning satellites changed the availability of detailed spatial data?
Academic Developments of GIS&T,Origins,foundational concepts,Where would you go to engage with other people in this growing sector? (to an academic conference? to a commercial vendor user conference? to an online dialog/ user group?) How has this changed over the past decades?
"Distance, Length, and Direction",Basic Measures,foundational concepts,"Describe several different measures of distance between two points (e.g., Euclidean, Manhattan, network distance, spherical)"
"Distance, Length, and Direction",Basic Measures,foundational concepts,Explain how different measures of distance can be used to calculate the spatial weights matrix
"Distance, Length, and Direction",Basic Measures,foundational concepts,Explain why estimating the fractal dimension of a sinuous line has important implications for the measurement of its length
"Distance, Length, and Direction",Basic Measures,foundational concepts,Explain how fractal dimension can be used in practical applications of GIS
"Distance, Length, and Direction",Basic Measures,foundational concepts,Explain the differences in the calculated distance between the same two places when data used are in different projections
"Distance, Length, and Direction",Basic Measures,foundational concepts,"Outline the implications of differences in distance calculations on real world applications of GIS, such as routing and determining boundary lengths and service areas"
"Distance, Length, and Direction",Basic Measures,foundational concepts,Estimate the fractal dimension of a sinuous line
"Distance, Length, and Direction",Basic Measures,foundational concepts,Describe operations that can be performed on qualitative representations of direction
"Distance, Length, and Direction",Basic Measures,foundational concepts,Explain any differences in the measured direction between two places when the data are presented in a GIS in different projections
"Distance, Length, and Direction",Basic Measures,foundational concepts,Compute the mean of directional data
"Distance, Length, and Direction",Basic Measures,foundational concepts,Compare and contrast how direction is determined and stated in raster and vector data
"Distance, Length, and Direction",Basic Measures,foundational concepts,Define “direction” and its measurement in different angular measures
Shape,Basic Measures,foundational concepts,Describe ways in which the shape of a geographical entity can affect other characteristics of that entity.
Shape,Basic Measures,foundational concepts,"Be familiar with a number of numerical shape descriptors, and appreciate that no one such descriptor can provide complete information about a shape."
Shape,Basic Measures,foundational concepts,Demonstrate understanding of moment-based approaches to shape by computing low-order moments for some simple examples.
Shape,Basic Measures,foundational concepts,Demonstrate understanding of a number of different types of shape surrogate by computing them for some simple examples and interpreting the results.
Shape,Basic Measures,foundational concepts,Determine the degree of similarity between shapes using a number of standard measures.
Shape,Basic Measures,foundational concepts,"Investigate examples of how the shape of a region affects its geographical characteristics; consider e.g., the structure of communication links and settlement patterns in a long thin country vs a roughly circular one."
Shape,Basic Measures,foundational concepts,"Compute values of the various numerical shape descriptors listed in this article for a number of example shapes, including both simple geometrical shapes (e.g., triangles, rectangles, circles, ellipses) and actual geographical regions (e.g., different countries). Investigate to what extent similar-looking shapes tend to have similar values for the various different descriptors."
Shape,Basic Measures,foundational concepts,"Computing moments. Consider the shape in discrete space comprising the points with coordinates (2,4), (3,2), (3,3), (3,4), (3,5), (3,6), (4,3), (4,4), (4,5), (4,6), (4,7), (5,5), (5,6), (5,7), (6,6), and (6,7). Compute the zeroth- and first-order moments. The first-order moments give you the coordinates of the shape's centroid; subtract these from each point to give the shape shifted so that its centroid is at the origin. With the shifted shape, compute the second-order moments, and use these to determine the principal axes of the shape, and the image ellipse. [You will need to consult a source such as Prokop and Reeves (1992) for details of how to find the principal axes and image ellipse.]"
Shape,Basic Measures,foundational concepts,Two well-known algorithms for computing the convex hull of a shape are the Jarvis March (also known as the Gift-wrap Algorithm) and Graham's Scan. Find descriptions of these algorithms and implement them either in the form of computer programs or by working through them by hand. Investigate other algorithms for computing convex hulls. Extend your investigation to include non-convex hulls [the reference Duckham et al. (2008) provides a useful starting point].
Shape,Basic Measures,foundational concepts,"Suppose we want to use one of the similarity measures dened in the article to compare the shapes of, say, different countries. Discuss what you would need to do in order to accomplish this. Try it!"
Area and Region,Basic Measures,foundational concepts,List reasons why the area of a polygon calculated in a GIS might not be the same as the real world object it describes
Area and Region,Basic Measures,foundational concepts,Demonstrate how the area of a region calculated from a raster data set will vary by resolution and orientation
Area and Region,Basic Measures,foundational concepts,Outline an algorithm to find the area of a polygon using the coordinates of its vertices
Area and Region,Basic Measures,foundational concepts,"Explain how variations in the calculation of area may have real world implications, such as calculating density"
Area and Region,Basic Measures,foundational concepts,"Delineate regions using properties, spatial relationships, and geospatial technologies"
Area and Region,Basic Measures,foundational concepts,Exemplify regions found at different scales
Area and Region,Basic Measures,foundational concepts,Explain the relationship between regions and categories
Area and Region,Basic Measures,foundational concepts,Identify the kinds of phenomena commonly found at the boundaries of regions
Area and Region,Basic Measures,foundational concepts,Explain why general-purpose regions rarely exist
Area and Region,Basic Measures,foundational concepts,"Differentiate among different types of regions, including functional, cultural, physical, administrative, and others"
Area and Region,Basic Measures,foundational concepts,"Compare and contrast the opportunities and pitfalls of using regions to aggregate geographic information (e.g., census data)"
Area and Region,Basic Measures,foundational concepts,"Use established analysis methods that are based on the concept of region (e.g., landscape ecology)"
Area and Region,Basic Measures,foundational concepts,Explain the nature of the Modifiable Areal Unit Problem (MAUP)
Resolution,Basic Measures,foundational concepts,Define resolution and its linkage to the broader concept of scale
Resolution,Basic Measures,foundational concepts,Explain how resolution can affect study findings and interpretations in environmental change detection
Resolution,Basic Measures,foundational concepts,Describe how resolution can affect study findings and interpretations in environmental health risk assessment
Resolution,Basic Measures,foundational concepts,Define fractals
Resolution,Basic Measures,foundational concepts,Demonstrate the use of fractals as a technique to mitigate resolution effects
Spatial Autocorrelation,Basic Measures,foundational concepts,Define spatial autocorrelation.
Spatial Autocorrelation,Basic Measures,foundational concepts,Identify examples of spatial autocorrelation.
Spatial Autocorrelation,Basic Measures,foundational concepts,Demonstrate the principles of spatial autocorrelation.
Spatial Autocorrelation,Basic Measures,foundational concepts,"Enumerate past, contemporaty, and still-to-be-researched properties of spatial autocorrelation."
Set Theory,Basic Measures,foundational concepts,Describe set theory
Set Theory,Basic Measures,foundational concepts,Compare and contrast basic set theory and basic arithmetic.
Set Theory,Basic Measures,foundational concepts,Compare and contrast logic and set theory
Set Theory,Basic Measures,foundational concepts,Describe where you already know that set theory is used in existing GIS software
Set Theory,Basic Measures,foundational concepts,Conjecture where else you might wish to see set theory used in GIS.
Set Theory,Basic Measures,foundational concepts,"Construct two-circle Venn diagrams, with optimal overlap, that show each of the following binary set relations: union, intersection, difference (absolute and relative), and symmetric difference. Label them or shade them so that a reader might understand them clearly. Generate true equations among various of the binary set relations. How many distinct regions are in each diagram?  Express the answer as a power of 2."
Set Theory,Basic Measures,foundational concepts,If a set
Set Theory,Basic Measures,foundational concepts,A
Set Theory,Basic Measures,foundational concepts,has
Set Theory,Basic Measures,foundational concepts,n
Set Theory,Basic Measures,foundational concepts,elements and a set
Set Theory,Basic Measures,foundational concepts,B
Set Theory,Basic Measures,foundational concepts,has
Set Theory,Basic Measures,foundational concepts,m
Set Theory,Basic Measures,foundational concepts,"elements,"
Set Theory,Basic Measures,foundational concepts,n
Set Theory,Basic Measures,foundational concepts,","
Set Theory,Basic Measures,foundational concepts,m
Set Theory,Basic Measures,foundational concepts,"positive integers, how many elements are in the Cartesian product of"
Set Theory,Basic Measures,foundational concepts,A
Set Theory,Basic Measures,foundational concepts,and
Set Theory,Basic Measures,foundational concepts,B
Set Theory,Basic Measures,foundational concepts,?  Think of some real-world geographical interpretations of the concept of Cartesian product.
Set Theory,Basic Measures,foundational concepts,Does a set
Set Theory,Basic Measures,foundational concepts,X
Set Theory,Basic Measures,foundational concepts,exist such that the power set of
Set Theory,Basic Measures,foundational concepts,X
Set Theory,Basic Measures,foundational concepts,is the empty set?  Why or why not?
Set Theory,Basic Measures,foundational concepts,"Construct a Hasse (hierarchical) Diagram of Power Sets for the set {1, 2, 3}.  What general principles might you suggest?"
Set Theory,Basic Measures,foundational concepts,"What is another way to write, in more compact notational form, ("
Set Theory,Basic Measures,foundational concepts,A
Set Theory,Basic Measures,foundational concepts,∪
Set Theory,Basic Measures,foundational concepts,B
Set Theory,Basic Measures,foundational concepts,) - (
Set Theory,Basic Measures,foundational concepts,A
Set Theory,Basic Measures,foundational concepts,∩
Set Theory,Basic Measures,foundational concepts,B
Set Theory,Basic Measures,foundational concepts,)?  Same question for (
Set Theory,Basic Measures,foundational concepts,A
Set Theory,Basic Measures,foundational concepts,-
Set Theory,Basic Measures,foundational concepts,B
Set Theory,Basic Measures,foundational concepts,) ∪ (
Set Theory,Basic Measures,foundational concepts,B
Set Theory,Basic Measures,foundational concepts,-
Set Theory,Basic Measures,foundational concepts,A
Set Theory,Basic Measures,foundational concepts,)?
Set Theory,Basic Measures,foundational concepts,Why is set theory fundamental to GIS?  Name specific instances in which the connection is apparent.
Set Theory,Basic Measures,foundational concepts,Read the book about
Set Theory,Basic Measures,foundational concepts,Flatland
Set Theory,Basic Measures,foundational concepts,by Edwin Abbott. What would set theory be like in Flatland? Read the article by Smith and Mark. What might their viewpoints be like in Flatland? Read about
Set Theory,Basic Measures,foundational concepts,What the Tortoise Said to Achilles
Set Theory,Basic Measures,foundational concepts,by Lewis Carroll and consider similar questions. Read older versions or find digital versions on the Internet.
Set Theory,Basic Measures,foundational concepts,Teaching suggestions:
Set Theory,Basic Measures,foundational concepts,"Introduce set theory at an abstract level and make sure that students learn to think abstractly and solve abstract problems before moving on to considering applications. That way, the concepts become second-nature and students may appreciate the universality of them rather than thinking of them only in one context.  It is an approach designed to optimize flexibility and clarity of thought."
Set Theory,Basic Measures,foundational concepts,
Set Theory,Basic Measures,foundational concepts,"Introduce a simple mapping construct and let them see where set theory lies behind the scenes, as in the example of the flu maps.  Engage them and get them to tell you where they see it.  Start out by suggesting a few ideas until they spontaneously enter the conversation with ideas of their own.  Then introduce several more until they get to be good at identifying set theory concepts that underlie existing spatial representations of the Earth, such as maps."
Set Theory,Basic Measures,foundational concepts,
Set Theory,Basic Measures,foundational concepts,"Finally, ask them to use set theory to create a story map of their own.  Sets might be geographic regions such as provinces. Members of sets might be people.  Or sets might be historical kingdoms or commonwealths and members might be nations.  Get them to organize their materials into sets and subsets.  They might consider an organizational hierarchy, such as a Hasse Diagram (perhaps in simplified form) or a Venn Diagram, for putting their materials together.  Read the wealth of materials about story maps to generate ideas, for example in the Esri source cited in the Bibliography."
Set Theory,Basic Measures,foundational concepts,
Openness,Social,foundational concepts,Define Openness.
Openness,Social,foundational concepts,Identify at least 5 fields or activities in which the principles of Openness are applied.
Openness,Social,foundational concepts,List at least 5 benefits of Openness in each of the following areas: Open Data; Free and Open Source Software; and Open Standards.
Openness,Social,foundational concepts,Explain the importance and implications in GIS&T of at least 3 benefits of Openness in the following areas: Open Data; Free and Open Source Software; and Open Standards.
Openness,Social,foundational concepts,"Identify at least 5 and explain at least 3 concerns, myths, or barriers to Openness in the areas of Open Data, Free and Open Source Software, and Open Standards."
Openness,Social,foundational concepts,Explain the activities and importance of at least 3 Openness initiatives or activities in the area of GIS&T.
Openness,Social,foundational concepts,"Research and present a benefit of Openness in GIS&T that is debated, questioned, or that has been highlighted as requiring more research."
Openness,Social,foundational concepts,How would you define Openness?
Openness,Social,foundational concepts,What are 5 different fields or activities in which Openness is currently applied?
Openness,Social,foundational concepts,"What are Open Data, FOSS/FOSS4G, and Open Standards?"
Openness,Social,foundational concepts,"What is the Open Geospatial Consortium (OGC), and what is its mission and scope of activities?"
Openness,Social,foundational concepts,"What is the Open Source Geospatial Foundation (OSGeo), and what is its mission and scope of activities?"
Openness,Social,foundational concepts,What are three issues related to the importance and benefits of Openness in the field of GIS&T?
Openness,Social,foundational concepts,What is interoperability?
Openness,Social,foundational concepts,"What is the relationship of Open Standards and interoperability of data, software and technologies in the area of GIS&T?"
Openness,Social,foundational concepts,"What are the benefits of interoperability of data, software, and technologies? Can you identify at least three?"
Openness,Social,foundational concepts,What are the concerns or challenges to Openness? Can you illustrate this with a specific example in the area of GIS&T?
Competence in GIS&T Knowledge Work,GIS&T Workforce,Knowledge Economy,"Explain how the DeSeCo program’s three categories of individual competencies – the ability to use tools, the ability to interact win heterogeneous groups, and the ability to act autonomously – relate to professional practice in the geospatial field."
Competence in GIS&T Knowledge Work,GIS&T Workforce,Knowledge Economy,Explain the relationship of major geospatial professions to the three industry sectors of the U.S. Department of Labor’s Geospatial Technology Competency Model (GTCM).
Competence in GIS&T Knowledge Work,GIS&T Workforce,Knowledge Economy,Self-assess your competencies relative to the Geospatial Technology Competency Model.
Competence in GIS&T Knowledge Work,GIS&T Workforce,Knowledge Economy,Discuss the evolution of GIS knowledge work in an age of increasingly capable machines.
GIS&T Positions and Qualifications,GIS&T Workforce,Knowledge Economy,Discuss the role of academic programs in GIS&T including certificates and degree programs.
GIS&T Positions and Qualifications,GIS&T Workforce,Knowledge Economy,Identify standard occupational codes that are relevant to GIS&T.
GIS&T Positions and Qualifications,GIS&T Workforce,Knowledge Economy,Identify types of GIS&T positions and their qualifications and explain why it has been difficult for many agencies and organizations to define positions and roles for GIS&T professionals.
GIS&T Positions and Qualifications,GIS&T Workforce,Knowledge Economy,"Describe the role of internships, professional certification, software certifications, and accreditation in relation to GIS&T positions and qualifications."
GIS&T Positions and Qualifications,GIS&T Workforce,Knowledge Economy,"Explain the differences among academic certificates, professional certification, and technical certification."
GIS&T Positions and Qualifications,GIS&T Workforce,Knowledge Economy,In what ways is work performed by GIS analysts different from that of GIS technicians?
GIS&T Positions and Qualifications,GIS&T Workforce,Knowledge Economy,What are benefits of career ladders?
GIS&T Positions and Qualifications,GIS&T Workforce,Knowledge Economy,Describe benefits associated with completing a GIS&T internship.
GIS&T Education and Training,GIS&T Workforce,Knowledge Economy,Summarize the origins of GIS&T education in formal learning environments.
GIS&T Education and Training,GIS&T Workforce,Knowledge Economy,"Explain how GIS educational has mirrored advances in computing and digital technologies, and the role of the Internet."
GIS&T Education and Training,GIS&T Workforce,Knowledge Economy,"Describe the curricular, research, and administrative roles that GIS plays in higher education."
GIS&T Education and Training,GIS&T Workforce,Knowledge Economy,Compare and contrast the “first” and “second” phases of GIS&T education.
GIS&T Education and Training,GIS&T Workforce,Knowledge Economy,How has the internet affected the development of GIS instruction and its reach to diverse audiences?
GIS&T Education and Training,GIS&T Workforce,Knowledge Economy,"What factors have continued to hamper uptake of GIS usage at the primary and secondary school levels, and why?"
Professional Certification,GIS&T Workforce,Knowledge Economy,"Explain the differences between professional certification, accreditation, and licensure."
Professional Certification,GIS&T Workforce,Knowledge Economy,Name the key organizations who provide professional certification in GIS.
Professional Certification,GIS&T Workforce,Knowledge Economy,How does someone acquire professional certification in the field of GIS&T?
Professional Certification,GIS&T Workforce,Knowledge Economy,State two arguments for and against professional certification in GIS&T.
Professional Certification,GIS&T Workforce,Knowledge Economy,How do certificates issued by an educational institution or software vendor differ from professional certification?
Professional Certification,GIS&T Workforce,Knowledge Economy,What is the role of accreditation in professional certification?
Professional Certification,GIS&T Workforce,Knowledge Economy,How do the legal bases for licensure differ from those applying to professional certification?
"Data sharing among public and private agencies, organizations, and individuals",Coordinating Organizations,Knowledge Economy,"Describe formal and informal arrangements that promote geospatial data sharing (e.g., FGDC, ESDI, memoranda of agreements, informal access arrangements, targeted funding support)"
"Data sharing among public and private agencies, organizations, and individuals",Coordinating Organizations,Knowledge Economy,Describe a situation in which politics interferes with data sharing and exchange
Publications,Coordinating Organizations,Knowledge Economy,Describe the leading academic journals serving the GIS&T community
Publications,Coordinating Organizations,Knowledge Economy,Select association and for-profit journals that are useful to entities managing enterprise GISs
Publications,Coordinating Organizations,Knowledge Economy,Select and describe the leading trade journals serving the GIS&T community
Publications,Coordinating Organizations,Knowledge Economy,Develop a bibliography of scholarly and professional articles and/or books that are relevant to a particular GIS&T project
Funding,GIS Operations,Knowledge Economy,Identify potential sources of funding (internal and external) for a project or enterprise GIS
Funding,GIS Operations,Knowledge Economy,Create proposals and presentations to secure funding
Funding,GIS Operations,Knowledge Economy,Analyze previous attempts at funding to identify successful and unsuccessful techniques
Organizational Models for GIS Management,GIS Operations,Knowledge Economy,Understand the structure and missions of different types of organizations which manage GIS programs
Organizational Models for GIS Management,GIS Operations,Knowledge Economy,Define “GIS Management” as a basis for examining organizational models for GIS programs
Organizational Models for GIS Management,GIS Operations,Knowledge Economy,Characterize general organizational models as a starting point to describe GIS program management models
Organizational Models for GIS Management,GIS Operations,Knowledge Economy,Identify the main types of organizational models for GIS program management with examples of how they are implemented in different types of organizations
Organizational Models for GIS Management,GIS Operations,Knowledge Economy,Describe the strengths and weaknesses of different management practices and GIS program governance through the lens of Organization Models
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,Identify and describe the people (roles) necessary to effectively design a GIS
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,Describe the methods for collaborating effectively with a variety of people in a design team
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,Create a proposal to justify the funding necessary for the design process of a GIS
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,Describe project management tools and techniques to manage the design process
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,Categorize strategies for creating a schedule for the design and implementation of a GIS
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,Explain how and why to use Gantt and PERT charts to track scheduling and progress
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,Why plan for GIS design?
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,Who should be involved in planning for GIS design?
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,What factors should an organization consider in GIS design?
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,"AGILE Planning,"
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,http://www.agilenutshell.com/planning
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,"Whitworth, B. and Ahmad, A. (2014): The Social Design of Technical Systems: Building technologies for communities. 2nd Edition,"
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,The Interaction Design Foundation
Strategic Planning for GIS Design,Design & Implementation of GIS&T,Knowledge Economy,", 87-92964-10-9 87-92964-09-5"
Graphics Processing Units,Computing Infrastructures,Computing Platforms,Define Graphics Processing Units for general-purpose computation.
Graphics Processing Units,Computing Infrastructures,Computing Platforms,Describe hardware architecture and software frameworks for GPU-enabled acceleration.
Graphics Processing Units,Computing Infrastructures,Computing Platforms,Discuss fundamental in using thread-based parallelism to harness massively parallel computing power in GPUs.
Graphics Processing Units,Computing Infrastructures,Computing Platforms,Describe the evaluation of acceleration performance of GPUs for general-purpose computation.
Graphics Processing Units,Computing Infrastructures,Computing Platforms,Discuss the types of spatial problems that can be accelerated using GPUs.
Graphics Processing Units,Computing Infrastructures,Computing Platforms,What is a Graphics Processing Unit (GPU) and why are GPUs popular with regards to general-purpose computation?
Graphics Processing Units,Computing Infrastructures,Computing Platforms,What is the hardware configuration of an NVIDIA GPU device?
Graphics Processing Units,Computing Infrastructures,Computing Platforms,What is the hierarchy of threads that CUDA supports? What about memory hierarchy?
Graphics Processing Units,Computing Infrastructures,Computing Platforms,For what situations will we use GPUs to accelerate spatial problems with fixed problem sizes?
Mobile Devices,Computing Infrastructures,Computing Platforms,"Understand and describe the contextual, technological, and financial considerations required for making a mobile app for geographic information collection."
Mobile Devices,Computing Infrastructures,Computing Platforms,Understand and describe the core concepts related to mobile devices as they apply to computing infrastructure as a whole.
Mobile Devices,Computing Infrastructures,Computing Platforms,Understand what technological advancements have taken place that have made mobile devices important and relevant for GIS&T.
Mobile Devices,Computing Infrastructures,Computing Platforms,How have mobile devices permeated our lived experiences and why is this relevant to Geographic Information Science? Provide examples from society and from literature.
Mobile Devices,Computing Infrastructures,Computing Platforms,"You have been given a description of the functional scope, a use case scenario, and target user personas for a mobile app for spatial data collection (derive from class readings/discussion). Argue if the mobile app should be built in a native, cross platform development framework, or as a progressive web app. Justify your decision based on the relative technological tradeoffs of the three approaches."
Mobile Devices,Computing Infrastructures,Computing Platforms,Identify an app you use regularly to either access or contribute spatial data:
Mobile Devices,Computing Infrastructures,Computing Platforms,"If access data: Location-based services need to know your location to deliver relevant information based on the user’s current location. Check your mobile device settings: “Security and privacy” location services or access AND settings, apps and notifications, permissions, your location (to access this information for each operating system). How many apps have you allowed access to your locational data? What are the implications for battery life? What are the ethical considerations?"
Mobile Devices,Computing Infrastructures,Computing Platforms,
Mobile Devices,Computing Infrastructures,Computing Platforms,"If data contribution: Some apps collect data from the user when the app is open, others collect information from the user at all times. Provide an example of each."
Mobile Devices,Computing Infrastructures,Computing Platforms,
Cyberinfrastructure,Computing Infrastructures,Computing Platforms,Explain the history of cyberinfrastructure
Cyberinfrastructure,Computing Infrastructures,Computing Platforms,Assess the importance and roles of cyberinfrastructure to science and engineering
Cyberinfrastructure,Computing Infrastructures,Computing Platforms,Describe the conceptual foundations of cyberGIS
Cyberinfrastructure,Computing Infrastructures,Computing Platforms,What are key characteristics of cyberinfrastructure?
